loan_id,customer_id,loan_type,principal_idr,interest_rate_annual,tenure_months,disbursement_date,monthly_installment_idr,outstanding_idr,status,due_date,last_payment_date
LON0059,NBC0785,personal,25290413,0.2188,6,2024-04-07,4488110,0,paid_off,2024-10-07,2024-07-07
LON0060,NBC0734,kredit_barang,18172830,0.2023,48,2022-04-04,555235,16974672,active,2026-04-07,2024-02-20
LON0061,NBC0873,modal_usaha,42778747,0.2002,12,2022-11-11,3963198,0,paid_off,2023-11-12,2023-07-04
LON0062,NBC0198,kredit_barang,9539881,0.1621,12,2022-04-08,866510,3713930,active,2023-04-09,2025-02-09
LON0063,NBC0219,personal,9159220,0.2016,12,2023-10-23,849161,3838961,active,2024-10-23,2024-10-01
LON0064,NBC0047,kredit_barang,27575216,0.1427,36,2024-04-15,946076,16610548,active,2027-04-18,2024-05-16
LON0065,NBC0211,personal,12266233,0.1463,48,2022-03-27,339082,5897038,overdue,2026-03-30,2022-07-13
LON0066,NBC0922,personal,6628864,0.171,48,2022-11-13,191619,2754758,active,2026-11-16,2024-06-12
LON0067,NBC0345,modal_usaha,29579562,0.1342,48,2022-03-06,799726,15817526,active,2026-03-09,2022-12-26
LON0068,NBC0939,modal_usaha,19120346,0.1413,12,2023-05-12,1717931,16093224,active,2024-05-12,2024-06-06
LON0069,NBC0495,personal,43888094,0.217,6,2022-05-09,7784554,19445351,overdue,2022-11-08,2023-06-12
LON0070,NBC0493,personal,8838088,0.1476,48,2023-09-15,244897,0,paid_off,2027-09-18,2024-10-26
LON0071,NBC0108,personal,28858644,0.1423,36,2024-01-14,989547,0,paid_off,2027-01-16,2024-11-01
LON0072,NBC0440,modal_usaha,27507170,0.1358,24,2022-08-28,1315247,0,paid_off,2024-08-29,2023-04-20
LON0073,NBC0652,personal,29614382,0.1779,24,2022-04-14,1475468,18355848,active,2024-04-15,2022-08-04
LON0074,NBC0291,modal_usaha,96206512,0.2074,48,2022-06-21,2965664,36740219,active,2026-06-24,2022-11-18
LON0075,NBC0509,personal,43837988,0.1486,36,2024-04-08,1516655,32754757,active,2027-04-11,2024-08-09
LON0076,NBC0849,personal,44505943,0.1228,6,2023-01-16,7685587,31216808,overdue,2023-07-18,2023-05-04
LON0077,NBC0244,kredit_barang,3257577,0.1993,36,2023-10-03,120947,0,paid_off,2026-10-05,2024-04-03
LON0078,NBC0891,personal,10167828,0.2078,24,2023-12-09,521382,6391248,active,2025-12-10,2025-01-16
LON0079,NBC0193,modal_usaha,192504991,0.2319,12,2024-05-09,18127818,0,paid_off,2025-05-10,2024-09-25
LON0080,NBC0200,personal,15795838,0.1247,12,2023-04-29,1406916,8913195,overdue,2024-04-29,2024-01-03
LON0081,NBC0184,modal_usaha,75933065,0.1206,24,2022-07-03,3576561,57862364,active,2024-07-04,2024-05-07
LON0082,NBC0767,personal,11335526,0.2321,36,2023-12-23,440037,4081339,active,2026-12-25,2025-01-11
LON0083,NBC0160,personal,40734712,0.1956,24,2024-01-30,2064481,27003494,active,2026-01-31,2024-08-16
LON0084,NBC0748,modal_usaha,83030117,0.1222,48,2022-01-07,2195481,0,paid_off,2026-01-10,2024-11-05
LON0085,NBC0301,personal,11943374,0.1611,24,2022-03-10,585413,3648285,overdue,2024-03-11,2023-04-26
LON0086,NBC0917,kredit_barang,3596866,0.1505,36,2023-10-19,124775,1449244,active,2026-10-21,2024-12-17
LON0087,NBC0297,modal_usaha,183263217,0.1334,36,2023-12-12,6204917,83334419,active,2026-12-14,2024-01-16
LON0088,NBC0899,personal,43261214,0.1989,12,2022-01-15,4005204,21928612,active,2023-01-16,2024-12-25
LON0089,NBC0166,modal_usaha,111884110,0.2276,36,2023-01-17,4317020,0,paid_off,2026-01-19,2023-07-19
LON0090,NBC0335,kredit_barang,16804383,0.1754,36,2022-05-19,603648,3695157,active,2025-05-21,2024-01-18
LON0091,NBC0423,personal,7197157,0.2162,12,2023-01-28,672298,0,paid_off,2024-01-29,2023-10-02
LON0092,NBC0136,modal_usaha,154992340,0.199,6,2022-07-09,27351939,86119894,active,2023-01-08,2023-05-05
LON0093,NBC0697,kredit_barang,23466381,0.2326,24,2022-10-24,1232043,0,paid_off,2024-10-25,2024-07-02
LON0094,NBC0039,modal_usaha,28983694,0.2205,48,2023-05-21,913949,15025389,active,2027-05-24,2024-10-06
LON0095,NBC0116,kredit_barang,14263764,0.212,36,2022-04-09,538854,10449339,active,2025-04-11,2023-07-16
LON0096,NBC0740,personal,40017746,0.1504,24,2024-01-18,1941087,19294612,active,2026-01-19,2024-10-15
LON0097,NBC0223,personal,33115212,0.1656,48,2024-02-09,948019,28045922,active,2028-02-12,2024-09-24
LON0098,NBC0634,personal,19550939,0.1948,6,2022-06-28,3446110,5655016,active,2022-12-28,2024-11-04
LON0099,NBC0846,personal,48888711,0.2389,24,2023-04-13,2582116,26632606,active,2025-04-14,2023-10-25
LON0100,NBC0391,modal_usaha,186212714,0.1268,36,2023-11-04,6245579,165754673,active,2026-11-06,2024-12-10
LON0101,NBC0557,personal,35465249,0.1262,12,2022-10-21,3161340,10458811,active,2023-10-22,2023-09-04
LON0102,NBC0016,personal,23753442,0.2069,36,2023-10-26,891136,0,paid_off,2026-10-28,2025-02-05
LON0103,NBC0094,kredit_barang,16235941,0.2236,48,2024-05-06,514709,11855693,active,2028-05-09,2024-10-25
LON0104,NBC0684,personal,37128745,0.1691,48,2022-08-07,1069623,18461186,active,2026-08-10,2023-11-09
LON0105,NBC0611,modal_usaha,91488537,0.13,24,2022-03-07,4349532,83035749,active,2024-03-08,2023-09-19
LON0106,NBC0661,kredit_barang,16514551,0.1735,24,2022-09-12,819297,7596493,active,2024-09-13,2024-06-05
LON0107,NBC0230,modal_usaha,65405233,0.1829,48,2022-01-15,1931204,47692915,active,2026-01-18,2024-03-17
LON0108,NBC0993,personal,23748513,0.2312,6,2022-10-15,4229236,21460553,active,2023-04-16,2024-03-27
LON0109,NBC0492,modal_usaha,158626048,0.2035,24,2022-07-09,8100548,32381690,active,2024-07-10,2023-09-20
LON0110,NBC0793,modal_usaha,21455463,0.1519,36,2023-06-18,745759,15087127,active,2026-06-20,2024-09-03
LON0111,NBC0072,personal,14698102,0.2325,36,2022-10-03,570876,9980335,active,2025-10-05,2024-11-24
LON0112,NBC0930,personal,29481667,0.2126,12,2023-02-02,2748829,11400681,active,2024-02-03,2023-07-02
LON0113,NBC0449,personal,38870056,0.137,24,2022-05-18,1860759,33050443,active,2024-05-19,2024-08-02
LON0114,NBC0208,personal,40609768,0.1989,24,2022-12-04,2064685,12562384,active,2024-12-05,2025-01-18
LON0115,NBC0989,modal_usaha,29881007,0.1306,12,2024-02-07,2669731,0,paid_off,2025-02-07,2024-06-28
LON0116,NBC0633,modal_usaha,171476593,0.1764,24,2023-01-18,8531017,55709166,active,2025-01-19,2024-11-03
LON0117,NBC0518,personal,7317977,0.1684,36,2023-09-29,260323,6273905,active,2026-10-01,2024-10-07
LON0118,NBC0576,personal,48475144,0.238,12,2022-12-01,4579100,29099020,active,2023-12-02,2023-05-31
LON0119,NBC0054,personal,36132375,0.1473,24,2024-05-06,1747306,11387560,overdue,2026-05-08,2024-07-25
LON0120,NBC0851,modal_usaha,175627207,0.1641,6,2023-01-14,30688050,42694867,active,2023-07-16,2023-05-26
LON0121,NBC0977,personal,19648720,0.222,6,2024-03-23,3490068,11922714,active,2024-09-22,2024-04-28
LON0122,NBC0919,personal,40158684,0.1293,12,2023-07-01,3585546,27181457,active,2024-07-01,2024-07-02
LON0123,NBC0801,modal_usaha,84514671,0.1663,24,2022-10-12,4163587,26059977,active,2024-10-13,2024-01-24
LON0124,NBC0731,modal_usaha,169393341,0.1621,24,2023-03-24,8311032,0,paid_off,2025-03-25,2024-03-23
LON0125,NBC0376,modal_usaha,138800552,0.2227,48,2023-02-03,4393432,60633751,overdue,2027-02-06,2024-01-22
LON0126,NBC0249,modal_usaha,21362609,0.1289,48,2022-12-10,571940,16669157,active,2026-12-13,2023-09-20
LON0127,NBC0780,personal,40467870,0.2208,36,2022-07-28,1547162,0,paid_off,2025-07-30,2024-01-02
LON0128,NBC0216,modal_usaha,114147702,0.1457,48,2023-05-22,3151991,50366727,active,2027-05-25,2024-10-01
LON0129,NBC0262,modal_usaha,64592164,0.2061,12,2023-04-21,6002337,0,paid_off,2024-04-21,2024-03-24
LON0130,NBC0096,modal_usaha,88148814,0.127,36,2024-03-30,2957361,60720055,active,2027-04-02,2024-05-08
LON0131,NBC0549,modal_usaha,155185104,0.1458,12,2024-02-10,13976009,0,paid_off,2025-02-10,2024-11-17
LON0132,NBC0377,personal,29684751,0.1553,24,2024-03-25,1446800,14078919,active,2026-03-27,2025-02-28
LON0133,NBC0015,personal,35901355,0.2252,36,2023-05-16,1380766,21925658,overdue,2026-05-18,2024-03-29
LON0134,NBC0125,modal_usaha,106688229,0.1855,48,2022-09-12,3164712,40648875,active,2026-09-15,2024-01-03
LON0135,NBC0304,personal,16285863,0.167,48,2022-10-04,467405,0,paid_off,2026-10-07,2023-12-13
LON0136,NBC0486,personal,44393226,0.2206,36,2023-07-19,1696776,12075557,active,2026-07-21,2024-06-15
LON0137,NBC0541,modal_usaha,110903766,0.2228,36,2022-02-13,4251547,60080458,active,2025-02-15,2023-06-08
LON0138,NBC0466,modal_usaha,28411573,0.1643,36,2024-04-02,1004909,7861195,active,2027-04-05,2025-01-16
LON0139,NBC0083,kredit_barang,6494477,0.1218,48,2022-02-27,171599,0,paid_off,2026-03-02,2022-12-11
LON0140,NBC0778,personal,21911896,0.2146,36,2024-04-26,830716,15281652,written_off,2027-04-29,
LON0141,NBC0145,personal,41795656,0.198,6,2023-04-25,7373711,16497530,overdue,2023-10-25,2024-05-13
LON0142,NBC0897,personal,38399850,0.1285,12,2022-08-13,3427068,23034040,active,2023-08-14,2023-05-12
LON0143,NBC0231,modal_usaha,165268149,0.1324,48,2022-01-07,4453442,92530250,overdue,2026-01-10,2022-11-12
LON0144,NBC0464,kredit_barang,15394704,0.2146,48,2023-10-05,480525,13606521,active,2027-10-08,2023-11-28
LON0145,NBC0894,modal_usaha,98371776,0.2056,6,2022-12-21,17392383,35028097,active,2023-06-22,2025-02-05
LON0146,NBC0025,modal_usaha,126568370,0.1672,12,2023-03-30,11526825,93266629,active,2024-03-30,2024-02-03
LON0147,NBC0188,personal,15836829,0.1289,24,2023-10-18,752094,0,paid_off,2025-10-19,2024-01-22
LON0148,NBC0238,modal_usaha,51064762,0.1894,24,2023-04-10,2572616,16327318,active,2025-04-11,2024-06-21
LON0149,NBC0974,modal_usaha,23620901,0.1295,6,2022-06-22,4086844,6408673,active,2022-12-22,2024-01-18
LON0150,NBC0305,personal,13269316,0.1464,24,2024-01-30,641117,7650003,active,2026-01-31,2024-05-12
LON0151,NBC0921,modal_usaha,185880888,0.1451,36,2024-01-09,6399108,67517973,active,2027-01-11,2025-01-23
LON0152,NBC0380,kredit_barang,5316210,0.2112,36,2022-09-15,200616,0,paid_off,2025-09-17,2023-03-11
LON0153,NBC0527,personal,28267292,0.1936,12,2024-04-01,2609876,24507656,active,2025-04-02,2024-10-04
LON0154,NBC0463,kredit_barang,7607411,0.1791,24,2023-01-26,379462,0,paid_off,2025-01-27,2023-09-20
LON0155,NBC0607,modal_usaha,198659426,0.1777,24,2022-10-26,9895830,0,paid_off,2024-10-27,2023-01-08
LON0156,NBC0151,kredit_barang,16679403,0.1826,24,2023-03-05,834801,6456338,active,2025-03-06,2024-04-18
LON0157,NBC0227,personal,25641272,0.1575,24,2024-04-28,1252416,0,paid_off,2026-04-30,2024-07-07
LON0158,NBC0625,personal,25078561,0.1716,12,2023-09-10,2289189,0,paid_off,2024-09-10,2024-06-26
LON0159,NBC0782,personal,41781096,0.167,48,2022-12-19,1199120,0,paid_off,2026-12-22,2024-12-27
LON0160,NBC0950,kredit_barang,10299604,0.1442,24,2022-11-02,496560,7643159,active,2024-11-03,2024-09-30
LON0161,NBC0954,personal,11365713,0.1418,36,2023-04-10,389448,0,paid_off,2026-04-12,2025-01-31
LON0162,NBC0876,modal_usaha,41804222,0.1319,48,2024-03-15,1125449,0,paid_off,2028-03-18,2024-07-31
LON0163,NBC0926,modal_usaha,128240487,0.2057,48,2023-11-20,3941456,64610610,active,2027-11-23,2024-05-03
LON0164,NBC0701,modal_usaha,184284881,0.127,24,2023-08-07,8735294,98348279,active,2025-08-08,2025-01-03
LON0165,NBC0307,personal,8157416,0.2377,24,2022-01-05,430356,4883552,active,2024-01-07,2023-11-18
LON0166,NBC0247,kredit_barang,24950450,0.2304,24,2022-04-03,1307233,15489353,active,2024-04-04,2023-10-26
LON0167,NBC0519,personal,26564367,0.1353,12,2024-01-18,2379267,0,paid_off,2025-01-18,2024-03-24
LON0168,NBC0856,personal,42220943,0.1421,24,2022-07-18,2031340,25243702,active,2024-07-19,2025-02-14
LON0169,NBC0538,modal_usaha,68834503,0.1964,24,2024-04-01,3491293,27071612,active,2026-04-03,2024-06-18
LON0170,NBC0469,kredit_barang,4774816,0.1713,24,2023-03-02,236376,2872842,active,2025-03-03,2024-05-31
LON0171,NBC0504,modal_usaha,56948757,0.1666,12,2023-08-31,5184813,0,paid_off,2024-08-31,2023-11-02
LON0172,NBC0048,modal_usaha,193371991,0.1362,24,2023-04-14,9249671,155132890,active,2025-04-15,2024-04-25
LON0173,NBC0162,modal_usaha,49698952,0.1606,6,2022-06-10,8675454,38357000,active,2022-12-10,2022-07-13
LON0174,NBC0254,modal_usaha,35485059,0.131,6,2023-05-21,6142192,12813426,overdue,2023-11-20,2023-11-11
LON0175,NBC0631,modal_usaha,145453444,0.1776,48,2022-06-03,4254475,117738464,active,2026-06-06,2024-05-30
LON0176,NBC0848,modal_usaha,126959938,0.1289,48,2022-08-28,3399090,67321664,active,2026-08-31,2024-01-30
LON0177,NBC0207,modal_usaha,95395448,0.2168,48,2023-06-10,2988988,48073515,active,2027-06-13,2023-11-22
LON0178,NBC0758,personal,16135197,0.1491,12,2024-02-09,1455651,0,paid_off,2025-02-09,2025-01-18
LON0179,NBC0924,kredit_barang,20987919,0.1891,12,2024-03-22,1933273,10616030,overdue,2025-03-23,2024-06-04
LON0180,NBC0656,personal,32645739,0.2003,48,2023-12-23,993944,24063036,active,2027-12-26,2024-05-03
LON0181,NBC0392,modal_usaha,38953514,0.1665,12,2023-04-13,3546279,24976230,active,2024-04-13,2024-02-03
LON0182,NBC0777,personal,8500802,0.1337,12,2024-03-24,760745,4490609,active,2025-03-25,2024-09-13
LON0183,NBC0560,personal,11951159,0.1245,24,2023-02-15,565097,0,paid_off,2025-02-16,2024-07-03
LON0184,NBC0229,personal,48744345,0.1973,24,2023-01-11,2474458,24808434,overdue,2025-01-12,2023-09-11
LON0185,NBC0409,personal,11068433,0.221,24,2022-03-08,574757,7202995,active,2024-03-09,2023-07-22
LON0186,NBC0705,modal_usaha,46084100,0.1479,24,2022-06-25,2229868,36253256,active,2024-06-26,2024-11-11
LON0187,NBC0511,modal_usaha,179475222,0.1745,12,2022-10-18,16407346,41778892,active,2023-10-19,2024-01-02
LON0188,NBC0009,personal,22523598,0.1884,36,2023-02-18,823805,0,paid_off,2026-02-20,2023-12-15
LON0189,NBC0979,kredit_barang,28203074,0.1764,12,2023-10-15,2580828,0,paid_off,2024-10-15,2024-01-13
LON0190,NBC0168,personal,12909939,0.1743,6,2022-06-25,2262356,0,paid_off,2022-12-25,2022-10-19
LON0191,NBC0264,personal,10730864,0.2282,48,2022-04-25,342883,7519091,active,2026-04-28,2024-01-24
LON0192,NBC0867,kredit_barang,21838757,0.1872,48,2023-04-05,649759,16618937,active,2027-04-08,2024-11-08
LON0193,NBC0165,modal_usaha,172397560,0.1976,48,2022-04-21,5224101,123668205,written_off,2026-04-24,
LON0194,NBC0583,kredit_barang,6539977,0.207,24,2022-08-29,335098,1755467,active,2024-08-30,2024-03-02
LON0195,NBC0143,personal,48546690,0.1742,12,2022-04-08,4437371,38247886,active,2023-04-09,2025-01-01
LON0196,NBC0472,personal,35739043,0.1343,6,2023-12-16,6191992,7194460,active,2024-06-16,2024-11-14
LON0197,NBC0124,personal,15458141,0.2012,6,2022-01-16,2729641,14297783,active,2022-07-18,2023-03-31
LON0198,NBC0479,personal,49164680,0.1869,48,2022-10-15,1461999,33730995,active,2026-10-18,2023-05-24
LON0199,NBC0784,personal,18466102,0.2014,48,2023-02-25,563309,14214590,overdue,2027-02-28,2024-06-20
LON0200,NBC0182,kredit_barang,17808001,0.1327,24,2022-05-27,848885,0,paid_off,2024-05-28,2023-06-02
LON0201,NBC0082,modal_usaha,92294297,0.2292,6,2023-10-29,16426905,83254513,active,2024-04-29,2024-06-08
LON0202,NBC0650,personal,36119383,0.1661,48,2023-06-26,1034953,0,paid_off,2027-06-29,2024-08-25
LON0203,NBC0887,modal_usaha,154481730,0.1232,6,2023-10-11,26680003,38523237,active,2024-04-11,2024-12-10
LON0204,NBC0710,personal,6473413,0.1736,36,2024-01-31,231956,4117590,active,2027-02-02,2024-09-20
LON0205,NBC0658,personal,23100875,0.1903,6,2022-06-10,4066646,8955919,active,2022-12-10,2024-08-10
LON0206,NBC0857,personal,46641466,0.1687,48,2023-10-02,1342707,38496077,active,2027-10-05,2024-08-12
LON0207,NBC0630,personal,16486164,0.2122,36,2022-06-17,622981,0,paid_off,2025-06-19,2024-01-15
LON0208,NBC0442,modal_usaha,133823276,0.224,24,2023-02-11,6968967,0,paid_off,2025-02-12,2023-11-08
LON0209,NBC0448,personal,13895047,0.195,48,2023-08-10,419139,2889831,active,2027-08-13,2023-11-16
LON0210,NBC0716,personal,13951694,0.1286,6,2022-10-27,2413275,9020807,active,2023-04-28,2023-04-08
LON0211,NBC0028,modal_usaha,58932792,0.1532,48,2024-01-07,1649719,35927818,overdue,2028-01-10,2024-02-29
LON0212,NBC0547,personal,10711295,0.2315,24,2022-10-27,561784,0,paid_off,2024-10-28,2023-02-20
LON0213,NBC0428,personal,16353211,0.2006,48,2024-01-29,498157,0,paid_off,2028-02-01,2024-07-25
LON0214,NBC0845,personal,36035742,0.14,36,2022-05-29,1231616,7631120,active,2025-05-31,2024-05-05
LON0215,NBC0642,modal_usaha,54064534,0.2317,6,2024-01-10,9629397,30337566,active,2024-07-11,2024-06-24
LON0216,NBC0512,personal,23052234,0.2368,36,2024-05-05,900536,8797031,active,2027-05-08,2025-02-25
LON0217,NBC0005,personal,47986768,0.1904,12,2022-09-29,4423212,36201180,active,2023-09-30,2023-10-01
LON0218,NBC0342,modal_usaha,52392893,0.1688,48,2024-04-13,1508548,0,paid_off,2028-04-16,2025-02-23
LON0219,NBC0498,personal,43338620,0.1616,12,2023-12-10,3935432,35360016,active,2024-12-10,2024-04-30
LON0220,NBC0407,personal,20545177,0.1566,12,2022-12-13,1860778,7720525,active,2023-12-14,2023-03-16
LON0221,NBC0441,personal,22919456,0.1281,48,2023-06-05,612712,20560556,written_off,2027-06-08,
LON0222,NBC0445,modal_usaha,34092901,0.1214,12,2022-11-05,3031346,21558355,active,2023-11-06,2023-09-06
LON0223,NBC0289,personal,19205172,0.233,48,2022-10-24,618715,10765237,active,2026-10-27,2024-06-24
LON0224,NBC0272,personal,41071108,0.1404,48,2023-07-26,1123153,0,paid_off,2027-07-29,2024-09-18
LON0225,NBC0738,modal_usaha,153339448,0.239,24,2022-12-26,8099574,87092954,active,2024-12-27,2025-01-29
LON0226,NBC0320,modal_usaha,136317066,0.2137,12,2024-02-24,12717216,91380250,active,2025-02-24,2025-01-19
LON0227,NBC0961,kredit_barang,26535549,0.1856,6,2023-12-04,4665063,11377023,overdue,2024-06-04,2024-05-22
LON0228,NBC0372,personal,11525240,0.144,12,2023-09-26,1036988,4630982,overdue,2024-09-26,2024-01-12
LON0229,NBC0896,modal_usaha,161904813,0.1256,36,2022-05-24,5420964,45039707,active,2025-05-26,2023-09-15
LON0230,NBC0064,personal,39089876,0.235,36,2022-02-02,1523364,27427657,active,2025-02-04,2023-03-31
LON0231,NBC0465,modal_usaha,42592862,0.1437,48,2024-03-14,1171834,12349860,active,2028-03-17,2024-12-24
LON0232,NBC0763,personal,20123737,0.2276,12,2024-02-23,1890837,9297750,active,2025-02-23,2025-02-13
LON0233,NBC0175,personal,10750031,0.1868,6,2024-01-26,1890544,9395614,active,2024-07-27,2025-02-18
LON0234,NBC0803,personal,23232474,0.182,24,2022-05-07,1162107,0,paid_off,2024-05-08,2023-11-26
LON0235,NBC0963,modal_usaha,127351075,0.2016,12,2022-02-04,11806858,73789369,active,2023-02-05,2023-05-02
LON0236,NBC0411,kredit_barang,13320513,0.1862,6,2023-11-10,2342201,0,paid_off,2024-05-11,2024-01-26
LON0237,NBC0312,modal_usaha,45148522,0.1424,48,2023-06-14,1239192,14145600,overdue,2027-06-17,2023-11-25
LON0238,NBC0559,modal_usaha,154494874,0.1531,24,2023-01-24,7513713,33566177,active,2025-01-25,2024-08-08
